level_1,level_2,level_3,level_4,level_3_final,level_4_final,agency,agency_name,agency_display,agency_display_abbreviation,bureau,bureau_citation_display,bureau_display,bureau_display_abbreviation,program,value
Spending,Safety,Crime and Disaster,Disaster Relief,Crime and Disaster,Disaster Relief,Small Business Administration,Small Business Administration,Small Business Administration,,Small Business Administration,Small Business Administration,Small Business Administration,,Disaster Loans Program Account,1515165998.0
Spending,Safety,Crime and Disaster,Disaster Relief,Crime and Disaster,Disaster Relief,Small Business Administration,Small Business Administration,Small Business Administration,,Small Business Administration,Small Business Administration,Small Business Administration,,Disaster Loans Program Account,32629693060.0
Spending,Safety,Crime and Disaster,Disaster Relief,Crime and Disaster,Disaster Relief,Small Business Administration,Small Business Administration,Small Business Administration,,Small Business Administration,Small Business Administration,Small Business Administration,,"Disaster Loan Program, Downward Reestimates of Subsidies",-285784175.6
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Legislative Branch,Legislative Branch,Legislative Branch,,United States Tax Court,United States Tax Court,United States Tax Court,,Salaries and Expenses,59898305.08
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Legislative Branch,Legislative Branch,Legislative Branch,,United States Tax Court,United States Tax Court,United States Tax Court,,U. S. Tax Court Fees,2101694.915
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Judicial Branch,Judicial Branch,Judicial Branch,,"Proceeds from Sale of Property, Judiciary Information Technology Fund",-113280000.0
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Judicial Branch,Judicial Branch,Judicial Branch,,"Advances and Reimbursements, Judiciary Information Technology Fund",-674421725.1999999
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Supreme Court of the United States,Supreme Court of the United States,Supreme Court of the United States,,Salaries and Expenses,126077519.4
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Supreme Court of the United States,Supreme Court of the United States,Supreme Court of the United States,,Salaries and Expenses,3534883.7210000004
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Supreme Court of the United States,Supreme Court of the United States,Supreme Court of the United States,,Care of the Building and Grounds,21209302.33
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,United States Court of Appeals for the Federal Circuit,United States Court of Appeals for the Federal Circuit,United States Court of Appeals for the Federal Circuit,,Salaries and Expenses,35909516.38
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,United States Court of Appeals for the Federal Circuit,United States Court of Appeals for the Federal Circuit,United States Court of Appeals for the Federal Circuit,,Salaries and Expenses,3168486.739
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,United States Court of International Trade,United States Court of International Trade,United States Court of International Trade,,Salaries and Expenses,22179407.18
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,United States Court of International Trade,United States Court of International Trade,United States Court of International Trade,,Salaries and Expenses,2112324.4930000002
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,"Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services",,Salaries and Expenses,6020234700.0
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,"Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services",,Salaries and Expenses,456628730.90000004
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,"Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services",,Defender Services,1460174146.0
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,"Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services",,Fees of Jurors and Commissioners,50851835.95
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,"Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services",,Court Security,739946102.6
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,"Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services",,Judiciary Filing Fees,123497315.9
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,"Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services",,Registry Administration,2075585.141
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,"Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services","Courts of Appeals, District Courts, and Other Judicial Services",,Judiciary Information Technology Fund,812591582.6
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Administrative Office of the United States Courts,Administrative Office of the United States Courts,Administrative Office of the United States Courts,,Salaries and Expenses,109840873.60000001
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Federal Judicial Center,Federal Judicial Center,Federal Judicial Center,,Salaries and Expenses,35909516.38
Spending,Safety,Crime and Disaster,Justice System,Crime and Disaster,Justice System,Judicial Branch,Judicial Branch,Judicial Branch,,Judicial Retirement Funds,Judicial Retirement Funds,Judicial Retirement Funds,,Payment to Judiciary Trust Funds,266152886.1
